time (sec);project2-scenario1-DES-1: Campus Network.server.Ethernet.Traffic Received (bits) 
0.0;#N/A
6.0;512
12.0;416736
18.0;512
24.0;116672
30.0;320
36.0;90304
42.0;#N/A
48.0;10688
54.0;99072
60.0;10688
66.0;231520
72.0;435840
78.0;177408
84.0;97248
90.0;1472
96.0;683776
102.0;832
108.0;111744
114.0;514944
120.0;11328
126.0;185632
132.0;427424
138.0;145888
144.0;72384
150.0;1472
156.0;251264
162.0;832
168.0;142016
174.0;485920
180.0;10816
186.0;169088
192.0;24352
198.0;320
204.0;#N/A
210.0;#N/A
216.0;#N/A
222.0;#N/A
228.0;#N/A
234.0;#N/A
240.0;#N/A
246.0;#N/A
252.0;#N/A
258.0;#N/A
264.0;#N/A
270.0;#N/A
276.0;#N/A
282.0;#N/A
288.0;#N/A
294.0;#N/A
300.0;658960
306.0;174656
312.0;13664
318.0;125632
324.0;66592
330.0;960
336.0;239328
342.0;640
348.0;168032
354.0;517024
360.0;960
366.0;221824
372.0;13664
378.0;170016
384.0;78240
390.0;960
396.0;225600
402.0;320
408.0;192064
414.0;67456
420.0;960
426.0;235968
432.0;417056
438.0;131328
444.0;96544
450.0;960
456.0;274688
462.0;320
468.0;166688
474.0;500384
480.0;960
486.0;222656
492.0;417376
498.0;158464
504.0;59936
510.0;960
516.0;601952
522.0;640
528.0;197152
534.0;96160
540.0;960
546.0;268416
552.0;417056
558.0;162528
564.0;66592
570.0;960
576.0;668928
582.0;320
588.0;144224
594.0;518688
600.0;#N/A
