step_duration;step_ended;step_halting;step_inserted;step_loaded;step_meanSpeed;step_meanSpeedRelative;step_meanTravelTime;step_meanWaitingTime;step_running;step_time;step_waiting
924524020;0;3;3;4;0.00;0.00;-1.00;0.00;3;21600.00;0
924524023;0;0;3;4;0.87;0.04;-1.00;0.00;3;21601.00;0
924524024;0;0;3;4;Jan 85;0.09;-1.00;0.00;3;21602.00;0
924524024;0;0;3;4;Feb 74;0.13;-1.00;0.00;3;21603.00;0
924524024;0;0;3;4;Mrz 65;0.17;-1.00;0.00;3;21604.00;0
924524025;0;1;4;63;Mrz 42;0.16;-1.00;0.00;4;21605.00;0
924524029;0;0;4;63;Apr 68;0.26;-1.00;0.00;4;21606.00;0
924524029;0;2;6;63;Mrz 96;0.24;-1.00;0.00;6;21607.00;0
924524032;0;1;7;63;Apr 48;0.37;-1.00;0.00;7;21608.00;0
924524032;0;1;8;63;05. Nov;0.42;-1.00;0.00;8;21609.00;0
924524033;0;1;9;63;Mai 59;0.44;-1.00;0.00;9;21610.00;0
924524033;0;0;9;63;Jun 67;0.60;-1.00;0.00;9;21611.00;0
924524034;0;0;9;63;Jul 21;0.71;-1.00;0.00;9;21612.00;0
924524034;0;0;9;63;08. Dez;0.79;-1.00;0.00;9;21613.00;0
924524035;0;0;9;63;Sep 18;0.85;-1.00;0.00;9;21614.00;0
924524035;0;0;9;63;Sep 45;0.82;-1.00;0.00;9;21615.00;0
924524036;0;1;10;63;Sep 18;0.79;-1.00;0.00;10;21616.00;0
924524036;0;0;10;63;Sep 56;0.85;-1.00;0.00;10;21617.00;0
924524037;0;0;10;63;Sep 93;0.86;-1.00;0.00;10;21618.00;0
924524037;0;1;11;63;Sep 18;0.81;-1.00;0.00;11;21619.00;0
924524038;0;0;11;63;Sep 64;0.84;-1.00;0.00;11;21620.00;0
924524039;0;1;12;63;Aug 94;0.76;-1.00;0.00;12;21621.00;0
924524040;0;0;12;63;Sep 44;0.79;-1.00;0.00;12;21622.00;0
924524040;0;0;12;63;Sep 59;0.80;-1.00;0.00;12;21623.00;0
924524041;0;2;14;63;Aug 70;0.71;-1.00;0.00;14;21624.00;0
924524042;0;0;14;63;Sep 16;0.77;-1.00;0.00;14;21625.00;0
924524042;0;0;14;63;Sep 80;0.80;-1.00;0.00;14;21626.00;0
924524043;0;1;15;63;Sep 68;0.81;-1.00;0.00;15;21627.00;0
924524044;0;0;15;63;Sep 96;0.88;-1.00;0.00;15;21628.00;0
924524045;0;0;15;63;Okt 21;0.89;-1.00;0.00;15;21629.00;0
924524045;0;1;16;63;Sep 59;0.82;-1.00;0.00;16;21630.00;0
924524046;0;0;16;63;Sep 69;0.86;-1.00;0.00;16;21631.00;0
924524047;0;0;16;63;Sep 88;0.85;-1.00;0.00;16;21632.00;0
924524047;0;0;16;63;10. Okt;0.87;-1.00;0.00;16;21633.00;0
924524048;0;0;16;63;Sep 95;0.85;-1.00;0.00;16;21634.00;0
924524049;0;0;16;63;Sep 90;0.83;-1.00;0.00;16;21635.00;0
924524049;0;3;19;63;08. Okt;0.69;-1.00;0.00;19;21636.00;0
924524051;0;0;19;63;Aug 60;0.73;-1.00;0.00;19;21637.00;0
924524051;0;0;19;63;09. Feb;0.75;-1.00;0.00;19;21638.00;0
924524052;0;1;19;63;Sep 39;0.78;-1.00;0.00;19;21639.00;0
924524053;0;1;19;63;Sep 51;0.80;-1.00;0.00;19;21640.00;0
924524054;0;2;20;63;Sep 13;0.76;-1.00;0.00;20;21641.00;0
924524055;0;1;20;63;09. Aug;0.78;-1.00;0.00;20;21642.00;0
924524055;0;2;21;63;Aug 96;0.77;-1.00;0.00;21;21643.00;0
924524056;0;1;21;63;Sep 16;0.81;-1.00;0.00;21;21644.00;0
924524057;0;0;21;63;9.00;0.79;-1.00;0.00;21;21645.00;0
924524058;0;0;21;63;Aug 70;0.77;-1.00;0.00;21;21646.00;0
924524059;0;1;22;63;Jul 86;0.69;-1.00;0.00;22;21647.00;0
924524060;0;0;22;63;08. Mrz;0.72;-1.00;0.00;22;21648.00;1
924524060;0;0;22;63;Aug 20;0.71;-1.00;0.00;22;21649.00;1
924524061;0;1;23;63;08. Apr;0.73;-1.00;0.09;23;21650.00;0
924524062;0;1;23;63;Aug 43;0.75;-1.00;0.09;23;21651.00;0
924524063;0;1;23;63;Aug 40;0.78;-1.00;0.09;23;21652.00;0
924524064;0;1;23;63;Aug 38;0.77;-1.00;0.09;23;21653.00;0
924524064;0;2;24;63;Aug 38;0.76;-1.00;0.08;24;21654.00;0
924524066;0;2;25;63;Aug 34;0.75;-1.00;0.08;25;21655.00;0
924524067;0;2;26;63;Aug 33;0.75;-1.00;0.08;26;21656.00;0
924524068;0;1;26;63;Aug 52;0.82;-1.00;0.08;26;21657.00;0
924524069;0;1;26;63;Aug 51;0.80;-1.00;0.08;26;21658.00;0
924524070;0;2;27;63;Aug 39;0.80;-1.00;0.07;27;21659.00;0
924524071;0;0;27;63;Aug 62;0.80;-1.00;0.07;27;21660.00;0
924524071;0;0;27;63;Aug 95;0.83;-1.00;0.07;27;21661.00;0
924524072;0;2;28;63;Aug 70;0.82;-1.00;0.07;28;21662.00;0
924524073;0;2;29;63;Aug 66;0.77;-1.00;0.07;29;21663.00;0
924524074;0;1;29;63;Aug 79;0.77;-1.00;0.07;29;21664.00;0
924524075;0;1;29;63;9.00;0.78;-1.00;0.07;29;21665.00;0
924524076;0;1;29;63;Sep 20;0.78;-1.00;0.07;29;21666.00;0
924524077;0;1;29;63;9.00;0.78;-1.00;0.07;29;21667.00;0
924524078;1;1;29;63;Sep 65;0.84;60.00;0.07;28;21668.00;0
924524079;1;1;29;63;Sep 81;0.84;60.00;0.07;28;21669.00;0
924524080;1;2;30;63;Sep 77;0.85;60.00;0.07;29;21670.00;0
924524082;1;1;30;63;10.00;0.82;60.00;0.07;29;21671.00;0
924524083;1;1;30;63;10. Feb;0.83;60.00;0.07;29;21672.00;0
924524084;1;1;30;63;Sep 92;0.80;60.00;0.07;29;21673.00;0
924524085;1;1;30;63;Sep 76;0.79;60.00;0.07;29;21674.00;0
